evidence_id,round_number,agent_id,institution_choice,coder_a,coder_b,text_excerpt
RB-08-A5-contribution,8,5,SI,opportunistic,none,"Optimizing for cumulative payoff, I contribute a significant amount to align with my institution's strategy and historical peer behavior."
RB-17-A12-contribution,17,12,SFI,opportunistic,opportunistic,"My institution is SFI, and I am a developing country with a high vulnerability index, so I will contribute my maximum budget to maximize my cumulative payoff."
RB-08-A13-contribution,8,13,SI,opportunistic,opportunistic,Optimizing for cumulative payoff by choosing a moderate contribution that balances self-interest and cooperation.
RB-04-A11-contribution,4,11,SFI,opportunistic,opportunistic,"I'll contribute a moderate amount, leveraging past cooperation and MCPR to balance my own interests with collective action."
RB-14-A14-contribution,14,14,SI,opportunistic,opportunistic,"Following recent contributions and internal beliefs, I will contribute a substantial amount to maximize my cumulative payoff."
RB-05-A3-contribution,5,3,SI,opportunistic,opportunistic,"I'm choosing a moderate contribution to balance self-interest and cooperation, given my institution's historical strategy and previous round data."
RB-14-A3-contribution,14,3,SI,opportunistic,none,"Optimizing cumulative payoff by contributing a substantial amount, consistent with the Selfish Individualism institution strategy."
RB-27-A15-contribution,27,15,SFI,opportunistic,opportunistic,"Given that I have a high wealth and MCPR, contributing nothing allows me to maximize my payoff by minimizing immediate costs."
RB-26-A14-contribution,26,14,SI,opportunistic,opportunistic,I have chosen to contribute a significant amount based on my institution's typical high MCPR and past contributions from peers with SI institutional strategy.
RB-13-A2-contribution,13,2,SI,opportunistic,opportunistic,I follow the SI strategy and contribute a substantial amount to maximize my cumulative payoff.
RB-08-A7-contribution,8,7,SFI,opportunistic,opportunistic,Maximum contribution to maximize payoff given high MCPR and no free-rider risk.
RB-27-A22-contribution,27,22,SI,opportunistic,opportunistic,"I'll contribute a significant amount, but not the maximum, to balance cooperation with self-interest."
RB-08-A14-contribution,8,14,SI,reputation_management,reputation_management,"I'll contribute a significant amount, given my high MCPR and previous contributions to maintain credibility and cooperation within the SI institution."
RB-10-A25-contribution,10,25,SI,reputation_management,reputation_management,"I contributed a moderate amount to maintain my credibility and reputation, while also taking into account the institutional strategy of most contributors using the SI framework."
RB-08-A3-contribution,8,3,SI,reputation_management,reputation_management,"I'll contribute a moderate amount to maintain credibility and avoid being seen as a free-rider, while also considering my institution's strategy."
