round_number,agent_id,institution_choice,contribution,prop,gossip_prev,bad_rep_prev,flags,evidence_id,excerpt
24,3,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-24-A3-contribution,"Given a high MCPR and my previous contributions, I choose to contribute minimally this round."
2,4,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-02-A4-contribution,"Given high vulnerability and limited budget, I choose to conserve wealth for potential future cooperation."
5,4,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-05-A4-contribution,"Given low MCPR and no significant pressure to contribute, I choose not to contribute this round."
6,4,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-06-A4-contribution,"Given a low MCPR of 0.1143, it is optimal to contribute nothing to maximize my payoff."
7,4,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-07-A4-contribution,"Given high MCPR and no free endowment, I choose to contribute nothing to maximize my payoff."
24,4,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-24-A4-contribution,"Given a high MCPR and my recent contributions, I choose to contribute minimally this round."
26,4,SFI,200000.0,0.4777210684955101,1,1,free_ride_language_positive_contrib|mentions_reputation_after_gossip,RB-26-A4-contribution,Maximize personal payoff by contributing at the minimum level to avoid free-rider reputation while being consistent with previous actions.
29,4,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-29-A4-contribution,"Given low contributions from peers in SFI and high vulnerability, I choose not to contribute."
1,5,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-01-A5-contribution,"Given high initial wealth and no prior contribution history, I choose to contribute nothing initially."
5,5,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-05-A5-contribution,"Given no marginal return to me per unit contributed (MCPR of 0.1333), I choose not to contribute."
6,5,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-06-A5-contribution,"Given a low MCPR of 0.1333, it is optimal to contribute nothing this round."
20,5,SI,12000000.0,0.1060491061776577,0,0,free_ride_language_positive_contrib,RB-20-A5-contribution,"I'll contribute a moderate amount to avoid free-riding and maintain credibility, as most contributors are using the Strategy Incentive (SI) approach."
4,7,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-04-A7-contribution,"Given no marginal return to me per unit contributed, and considering my institution's past contributions, I choose not to contribute this round."
5,7,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-05-A7-contribution,"Given a low MCPR and no incentive to contribute, I choose not to contribute."
7,7,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-07-A7-contribution,"Given that most peers contribute highly and I have a low MCPR, contributing nothing maximizes my payoff."
8,7,SFI,443081.0,3.578572870815328,0,1,free_ride_language_positive_contrib,RB-08-A7-contribution,Maximum contribution to maximize payoff given high MCPR and no free-rider risk.
23,7,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-23-A7-contribution,"Given low contributions from SFI members and high MCPR, I choose to contribute minimally."
29,7,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-29-A7-contribution,"Given the high contribution from peers in SI and my institution's strategy of most peers being in SI, I choose to contribute nothing this round."
1,8,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-01-A8-contribution,"In this first round with no prior contributions, I choose to contribute nothing to observe how others act and wait for more information."
4,8,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-04-A8-contribution,"Given SFI's high contribution average and my institution's cooperative history, I choose to contribute minimally this round."
9,8,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-09-A8-contribution,"Given high vulnerability and limited budget, I choose to contribute nothing this round."
23,9,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-23-A9-contribution,"Given low contributions from SFI members and high MCPR, I choose to contribute minimally."
4,10,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-04-A10-contribution,"Given a high budget and low MCPR, it is optimal to contribute nothing."
14,12,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-14-A12-contribution,"Given high peer contributions and no MCPR, I choose to contribute nothing this round."
15,12,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-15-A12-contribution,"Given low MCPR and high peer contributions, it's optimal to contribute nothing."
22,12,SFI,213382.0,0.5898537854289637,0,0,free_ride_language_positive_contrib,RB-22-A12-contribution,"I've chosen to contribute a high amount due to my institution's history of cooperation and minimal free-riding, which aligns with our internal beliefs."
29,12,SFI,213382.0,1.139705601830275,0,0,free_ride_language_positive_contrib,RB-29-A12-contribution,"I contribute a moderate amount, as seen in my recent contributions, to maintain cooperation and avoid free-riding."
6,13,SI,1200000.0,0.0493662955599279,0,0,free_ride_language_positive_contrib,RB-06-A13-contribution,Free-riding is optimal due to low MCPR and no significant reward effect.
6,14,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-06-A14-contribution,"Given no marginal return to me per unit contributed, it is optimal for my payoff to contribute nothing."
23,14,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-23-A14-contribution,"Given low contributions from SFI members and high MCPR, I choose to contribute nothing to avoid being taken advantage of by free-riders."
25,14,SI,12000000.0,0.0565789176479457,1,1,mentions_reputation_after_gossip,RB-25-A14-contribution,"I'll contribute a significant amount to maintain my reputation as a high contributor and take advantage of the MCPR, while also contributing to emissions reduction."
1,15,SFI,1000.0,0.1391096979332273,0,0,free_ride_language_positive_contrib,RB-01-A15-contribution,Begin with a moderate contribution to explore potential returns and avoid free-riding.
3,15,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-03-A15-contribution,"Given no cooperation incentives and a history of high defectors, I choose to conserve wealth."
22,15,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-22-A15-contribution,"Given low contributions from SFI members and high MCPR, I choose to contribute minimally."
24,15,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-24-A15-contribution,"Given SFI's historical low contributions and my own past behavior, I choose to contribute nothing this round."
25,15,SFI,1069.0,0.0018146802808833,0,0,free_ride_language_positive_contrib,RB-25-A15-contribution,"Free-riding is a common behavior among SFI members, and I have observed that contributing minimally maximizes my payoff."
29,15,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-29-A15-contribution,"Given Agent 7's past behavior of contributing $0 despite stating it would maximize their payoff, I decide to follow their lead and contribute nothing."
18,16,SI,12000000.0,0.1084092584149463,0,0,free_ride_language_positive_contrib,RB-18-A16-contribution,"I'll contribute a moderate amount to avoid free-riding and maintain credibility, as per my institutional strategy."
22,16,SI,10626200.0,0.055194724244939,0,0,free_ride_language_positive_contrib,RB-22-A16-contribution,I'll contribute at a level consistent with previous rounds to maintain credibility and avoid being seen as a free-rider.
1,17,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-01-A17-contribution,"In this first round with no prior contributions, I choose to contribute nothing to observe group behavior and maintain maximum flexibility for future rounds."
4,18,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-04-A18-contribution,"Given SFI's history of low contributions and lack of cooperation, I choose to free-ride this round."
5,18,SFI,11800.0,0.0347078014902,0,0,free_ride_language_positive_contrib,RB-05-A18-contribution,"I contribute a moderate amount to balance cooperation and free-riding, considering my recent contributions and peers' actions."
19,18,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-19-A18-contribution,"Given high MCPR and previous round data indicating low contributions from SFI members, it is rational to contribute minimally."
22,18,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-22-A18-contribution,"Given SFI's low contribution history and my institution's constraints, I choose to contribute minimally."
30,18,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-30-A18-contribution,"Given that most peers from SFI institution contributed little to nothing, and considering my own recent contributions, I choose not to contribute."
1,19,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-01-A19-contribution,"Contributing nothing allows me to conserve resources and observe the behavior of other agents, without immediately committing to a cooperative action."
8,21,SI,2305747.0,0.3216787767662691,0,0,free_ride_language_positive_contrib,RB-08-A21-contribution,I contribute at the previous round's group average to maintain consistency and avoid being seen as a free-rider.
25,22,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-25-A22-contribution,"Given a high MCPR of 1.6, I choose to contribute nothing as it maximizes my payoff."
4,23,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-04-A23-contribution,"Given a high budget and low MCPR, I choose to contribute nothing to maximize my cumulative payoff."
7,23,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-07-A23-contribution,"Given that my marginal return to contribution is low (MCPR = 0.1333) and other developed countries like myself have not contributed significantly in previous rounds, it's optimal for me to contribute nothing this round."
23,23,SI,19423998.0,0.1448440708923071,0,0,free_ride_language_positive_contrib,RB-23-A23-contribution,I contribute my previous round's amount to maintain consistency and avoid being perceived as a free-rider.
7,24,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-07-A24-contribution,"Given that most peers follow the SI strategy, I choose to contribute nothing this round."
9,24,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-09-A24-contribution,"Given high peer contributions to SI, I choose not to contribute significantly to emissions reduction this round."
10,24,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-10-A24-contribution,"Given that I have a history of low contributions and my institution, SFI, tends to have lower contributors, I choose not to contribute significantly."
1,25,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-01-A25-contribution,"The marginal return to me per unit contributed (MCPR) is very low at 0.1333, and I have no prior experience with this institution or group, so I will start by contributing nothing."
4,25,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-04-A25-contribution,"Given no marginal return to me per unit contributed, and considering my institution's strategy is to follow the SI approach which has been followed by most peers, I choose not to contribute this round."
10,25,SI,4000000.0,0.3366079414093934,1,0,mentions_reputation_after_gossip,RB-10-A25-contribution,"I contributed a moderate amount to maintain my credibility and reputation, while also taking into account the institutional strategy of most contributors using the SI framework."
27,25,SI,15000000.0,0.1469191760843387,0,0,free_ride_language_positive_contrib,RB-27-A25-contribution,I'll contribute a moderate amount to avoid free-riding while also considering my MCPR and previous contributions.
