agent_id,round_number,contribution,prop_of_wealth,wealth_eor,is_zero,reputation,shock_occurred,ldf_payout_round,evidence_id,contribution_reasoning
10,5,500000.0,0.0406669836450188,12294986.133333333,False,1.0,1,0.0,RB-05-A10-contribution,"I'm choosing a moderate contribution to balance self-interest and cooperation, given my high budget and relatively low MCPR."
10,6,3000000.0,0.2733044220983461,10976770.8,False,6.44,0,0.0,RB-06-A10-contribution,"Choose a contribution that balances cooperation and self-interest, considering past contributions from Agents 21 and 25."
10,7,5000000.0,0.5220663016685364,9577327.6,False,5.0,0,0.0,RB-07-A10-contribution,Focusing on a moderate contribution to balance individual payoff and collective emissions reduction.
13,4,1200000.0,0.0540420395187097,22204935.466666665,False,5.6,0,0.0,RB-04-A13-contribution,"I choose to contribute 1,200,000 million USD as it balances self-interest with cooperative action, given my internal beliefs about peers' behavior and the marginal return per unit contributed."
13,5,1200000.0,0.0503708149684723,23823319.133333333,False,4.24,1,0.0,RB-05-A13-contribution,Follows previous round's group average contribution and is within my budget to maximize cumulative payoff.
13,6,1200000.0,0.0493662955599279,24308082.8,False,5.36,0,0.0,RB-06-A13-contribution,Free-riding is optimal due to low MCPR and no significant reward effect.
13,7,1200000.0,0.0473375832331795,25349836.6,False,1.0,0,0.0,RB-07-A13-contribution,"Focusing on a moderate contribution that balances self-interest with cooperation, considering the high MCPR and previous contributions from peers."
14,4,3320470.0,0.6648611877569607,4994230.466666667,False,1.0,0,0.0,RB-04-A14-contribution,"Maximizing my cumulative payoff over the game requires contributing as much as possible to Stage 1, given that it directly affects my wealth and subsequent budget for Stage 2."
14,5,880000.0,0.1269105420664605,6934018.133333333,False,5.0,1,0.0,RB-05-A14-contribution,"I contributed a significant amount, given my past contributions and the marginal return to me per unit contributed."
14,6,0.0,0.0,8617228.799999999,True,6.08,0,0.0,RB-06-A14-contribution,"Given no marginal return to me per unit contributed, it is optimal for my payoff to contribute nothing."
14,7,4000000.0,0.5175226305530405,7729130.6,False,1.0,0,0.0,RB-07-A14-contribution,"I'll contribute a significant amount to maximize my payoff, considering the high MCPR and historical emissions index."
16,4,1200000.0,0.1654171362522204,7254387.466666667,False,6.68,0,0.0,RB-04-A16-contribution,"I maintain my previous contribution level as it balances self-interest with cooperation, considering the high marginal return to me per unit contributed."
16,5,1200000.0,0.1352237594876558,8874180.133333333,False,6.08,1,0.0,RB-05-A16-contribution,"I contributed a moderate amount to maintain a balance between cooperation and self-interest, considering my previous contributions and the current decision card."
16,6,1200000.0,0.1282053364018283,9359984.8,False,6.68,0,0.0,RB-06-A16-contribution,"I'll contribute a moderate amount to maximize my payoff, considering my recent contributions and internal beliefs."
16,7,1200000.0,0.1026158788529248,11694096.6,False,5.36,0,0.0,RB-07-A16-contribution,Following a consistent strategy with recent peers who contributed similarly.
21,4,30830.0,0.004721434978908,6529794.466666667,False,6.08,0,0.0,RB-04-A21-contribution,Follows historical contribution patterns within my institution and maintains a balance between self-interest and cooperation.
21,5,6529794.0,2.273166560806559,2872554.1333333333,False,5.0,1,0.0,RB-05-A21-contribution,Maximal contribution to maximize cumulative payoff
21,6,1200000.0,0.3571503190334512,3359929.8,False,6.68,0,0.0,RB-06-A21-contribution,I've chosen to contribute a significant amount based on my institution's historical strategy and the benefits of contributing to emissions reduction.
21,7,1200000.0,0.2104485015330121,5702107.6,False,6.32,0,0.0,RB-07-A21-contribution,"I have chosen to contribute $1.2 billion, as it is a high contribution that will likely increase my payoff due to the marginal return rate of 1.6."
22,4,1210000.0,0.1950672658029661,6202988.466666667,False,6.6,0,0.0,RB-04-A22-contribution,I follow my recent contributions to maximize my cumulative payoff.
22,5,30830.0,0.0039581140211924,7789063.133333333,False,5.0,1,0.0,RB-05-A22-contribution,Maintaining consistency with previous contributions to maximize cumulative payoff.
22,6,30830.0,0.0032656152282448,9440793.8,False,5.0,0,0.0,RB-06-A22-contribution,"I follow my institution's strategy, which is to contribute a small amount."
22,7,1200000.0,0.1018644193745922,11780364.6,False,5.0,0,0.0,RB-07-A22-contribution,"I have chosen to contribute maximally to emissions reduction, as it aligns with my self-interested goal of maximizing payoff."
23,4,0.0,0.0,7831921.466666667,True,5.24,0,0.0,RB-04-A23-contribution,"Given a high budget and low MCPR, I choose to contribute nothing to maximize my cumulative payoff."
23,5,391596.0,0.0381733974037743,10258348.133333333,False,1.36,1,0.0,RB-05-A23-contribution,"Funding Stage 2 directly from wealth, no free endowment."
23,6,3000000.0,0.3353513735679267,8945840.799999999,False,5.44,0,0.0,RB-06-A23-contribution,"This contribution balances self-interest and cooperative actions, considering past rounds' trends and my institution's typical behavior."
23,7,0.0,0.0,12470803.6,True,5.0,0,0.0,RB-07-A23-contribution,"Given that my marginal return to contribution is low (MCPR = 0.1333) and other developed countries like myself have not contributed significantly in previous rounds, it's optimal for me to contribute nothing this round."
25,4,0.0,0.0,11359278.466666669,True,7.16,0,0.0,RB-04-A25-contribution,"Given no marginal return to me per unit contributed, and considering my institution's strategy is to follow the SI approach which has been followed by most peers, I choose not to contribute this round."
25,5,5000000.0,0.5416064141566616,9231796.133333333,False,1.0,1,0.0,RB-05-A25-contribution,Higher contribution maximizes my cumulative payoff considering MCPR and peer contributions.
25,6,3000000.0,0.3793011421971155,7909282.8,False,5.0,0,0.0,RB-06-A25-contribution,"Considering my institution's historical high contributions and the current MCPR, I choose a moderate contribution to balance self-interest with cooperative behavior."
25,7,5000000.0,0.7676671375639245,6513239.6,False,5.48,0,0.0,RB-07-A25-contribution,"I have chosen to contribute $5 billion based on my institution's (SI) strategy of contributing a significant amount, given our high fiscal capacity and historically higher emissions."
